generic_name,drug_name,num_claims,total_cost
CARBAMAZEPINE,CARBATROL,21670,4183485.820000003
CARBAMAZEPINE,EPITOL,41532,2272880.369999998
CARBAMAZEPINE,EQUETRO,4708,1226154.42
CARBAMAZEPINE,TEGRETOL,28089,6660663.320000004
CARBAMAZEPINE,TEGRETOL XR,76989,13438581.949999988
CARBIDOPA,CARBIDOPA,8423,8443897.170000002
CARBIDOPA,LODOSYN,881,1781877.32
CARBIDOPA/LEVODOPA,CARBIDOPA-LEVODOPA,2389742,79438386.16000037
CARBIDOPA/LEVODOPA,CARBIDOPA-LEVODOPA ER,418862,26585689.459999885
CARBIDOPA/LEVODOPA,RYTARY,22390,15097056.870000008
CARBIDOPA/LEVODOPA,SINEMET 10-100,133,15172.93
CARBIDOPA/LEVODOPA,SINEMET 25-100,2542,594486.9099999997
CARBIDOPA/LEVODOPA,SINEMET 25-250,286,44503.03
CARBIDOPA/LEVODOPA,SINEMET CR,1220,268924.70000000007
CARBIDOPA/LEVODOPA/ENTACAPONE,CARBIDOPA-LEVODOPA-ENTACAPONE,102420,32279348.949999936
CARBIDOPA/LEVODOPA/ENTACAPONE,STALEVO 100,1041,705551.6600000003
CARBIDOPA/LEVODOPA/ENTACAPONE,STALEVO 125,456,262117.9599999999
CARBIDOPA/LEVODOPA/ENTACAPONE,STALEVO 150,840,515948.12000000005
CARBIDOPA/LEVODOPA/ENTACAPONE,STALEVO 200,660,435230.45
CARBIDOPA/LEVODOPA/ENTACAPONE,STALEVO 50,156,93252.96999999999
CARBIDOPA/LEVODOPA/ENTACAPONE,STALEVO 75,186,109915.02
CARBINOXAMINE MALEATE,CARBINOXAMINE MALEATE,2755,85376.87000000005
CARBOPLATIN,CARBOPLATIN,2696,163977.42000000004
CARGLUMIC ACID,CARBAGLU,22,194234.5
CARISOPRODOL,CARISOPRODOL,849549,13898413.800000012
CARISOPRODOL,SOMA,728,637553.4200000002
CARISOPRODOL/ASPIRIN,CARISOPRODOL-ASPIRIN,12,1781.09
CARMUSTINE,BICNU,11,37983.28
CARTEOLOL HCL,CARTEOLOL HCL,14491,210421.99000000005
CARVEDILOL,CARVEDILOL,13548615,109916646.33000039
CARVEDILOL,COREG,4785,1064422.4799999993
CARVEDILOL PHOSPHATE,COREG CR,108278,32691355.290000103
CASPOFUNGIN ACETATE,CANCIDAS,507,955395.5900000001
CEFACLOR,CEFACLOR,6953,343615.50000000006
CEFADROXIL,CEFADROXIL,124610,1408790.4599999988
CEFAZOLIN SODIUM,CEFAZOLIN SODIUM,11986,748384.3999999997
"CEFAZOLIN SODIUM/DEXTROSE,ISO",CEFAZOLIN,95,7886.31
"CEFAZOLIN SODIUM/DEXTROSE,ISO",CEFAZOLIN SODIUM,11,364.96
"CEFAZOLIN SODIUM/DEXTROSE,ISO",CEFAZOLIN SODIUM-DEXTROSE,204,6087.94
CEFDINIR,CEFDINIR,603075,19323626.90000003
CEFEPIME HCL,CEFEPIME HCL,23816,3605365.100000001
CEFEPIME HCL,MAXIPIME,99,3419.6200000000003
CEFEPIME HCL/D5W,CEFEPIME-DEXTROSE,262,24607.370000000003
"CEFEPIME HCL/DEXTROSE, ISO-OSM",CEFEPIME,2079,475490.43000000005
CEFIXIME,CEFIXIME,19,2554.36
CEFIXIME,SUPRAX,2309,544523.7000000002
CEFOTAXIME SODIUM,CEFOTAXIME SODIUM,12,817.16
CEFOXITIN SODIUM,CEFOXITIN,1246,286414.56
CEFPODOXIME PROXETIL,CEFPODOXIME PROXETIL,45530,4236928.909999998
CEFPROZIL,CEFPROZIL,39890,1562505.7900000026
CEFTAROLINE FOSAMIL ACETATE,TEFLARO,2207,2924416.2200000007
CEFTAZIDIME,CEFTAZIDIME,3845,474030.57999999996
CEFTAZIDIME,FORTAZ,14,221.34
CEFTAZIDIME,TAZICEF,242,24073.31
CEFTAZIDIME IN DEXTROSE5%WATER,CEFTAZIDIME,33,1032.63
"CEFTAZIDIME NA/DEXTROSE,ISO",FORTAZ IN ISO-OSMOTIC DEXTROSE,135,18129.22
CEFTAZIDIME/AVIBACTAM,AVYCAZ,50,106112.34
CEFTIBUTEN,CEDAX,11,1954.65
CEFTIBUTEN,CEFTIBUTEN,61,10269.61
CEFTOLOZANE/TAZOBACTAM,ZERBAXA,212,233253.83000000002
"CEFTRIAXONE NA/DEXTROSE,ISO",CEFTRIAXONE,4508,399040.10000000003
CEFTRIAXONE SODIUM,CEFTRIAXONE,181925,9443108.530000033
CEFTRIAXONE SODIUM,ROCEPHIN,46,3417.4800000000005
CEFUROXIME AXETIL,CEFTIN,73,59183.630000000005
CEFUROXIME AXETIL,CEFUROXIME,753466,30879906.84000003
CELECOXIB,CELEBREX,86850,26286466.090000037
CELECOXIB,CELECOXIB,2403798,378558807.9699985
CEPHALEXIN,CEPHALEXIN,3797038,25194409.189999618
CERITINIB,ZYKADIA,509,5563841.789999999
CERTOLIZUMAB PEGOL,CIMZIA,21876,79325803.09999995
CETIRIZINE HCL,CETIRIZINE HCL,5413,98850.01999999986
CETUXIMAB,ERBITUX,316,2094085.4600000002
CEVIMELINE HCL,CEVIMELINE HCL,41088,10348274.509999968
CEVIMELINE HCL,EVOXAC,1010,442971.9500000002
CHENODIOL,CHENODAL,197,9441616.2
CHLORAMBUCIL,LEUKERAN,5103,2160236.5100000002
CHLORDIAZEPOXIDE HCL,CHLORDIAZEPOXIDE HCL,38139,324246.15999999933
CHLORHEXIDINE GLUCONATE,CHLORHEXIDINE GLUCONATE,1045721,6407956.700000023
CHLORHEXIDINE GLUCONATE,PAROEX,2500,15123.359999999999
CHLORHEXIDINE GLUCONATE,PERIOGARD,1922,13362.880000000001
CHLOROQUINE PHOSPHATE,CHLOROQUINE PHOSPHATE,910,33748.39
CHLOROTHIAZIDE,CHLOROTHIAZIDE,6158,168984.73000000013
CHLORPROMAZINE HCL,CHLORPROMAZINE HCL,211380,82615280.76000011
CHLORPROPAMIDE,CHLORPROPAMIDE,469,34320.91999999999
CHLORTHALIDONE,CHLORTHALIDONE,1136489,41979735.33999999
CHLORZOXAZONE,CHLORZOXAZONE,30464,902267.4500000007
CHLORZOXAZONE,LORZONE,939,408067.87
CHLORZOXAZONE,PARAFON FORTE DSC,11,2694.51
CHOLESTYRAMINE (WITH SUGAR),CHOLESTYRAMINE,203549,20406951.649999984
CHOLESTYRAMINE (WITH SUGAR),QUESTRAN,57,7408.05
CHOLESTYRAMINE/ASPARTAME,CHOLESTYRAMINE LIGHT,23191,2061200.4099999976
CHOLESTYRAMINE/ASPARTAME,PREVALITE,16563,1614925.9999999993
CHOLESTYRAMINE/ASPARTAME,QUESTRAN LIGHT,18,2951.82
"CHORIONIC GONADOTROPIN, HUMAN",CHORIONIC GONADOTROPIN,173,175785.71000000002
"CHORIONIC GONADOTROPIN, HUMAN",NOVAREL,13,2572.47
"CHORIONIC GONADOTROPIN, HUMAN",PREGNYL,26,5289.22
CICLESONIDE,ALVESCO,9841,3257338.5600000015
CICLESONIDE,OMNARIS,2306,504954.85999999987
CICLESONIDE,ZETONNA,2281,496246.96999999974
CICLOPIROX,CICLOPIROX,266388,13371261.599999988
CICLOPIROX,LOPROX,11,8212.86
CICLOPIROX,PENLAC,89,11415.75
CICLOPIROX OLAMINE,CICLOPIROX,188761,7518328.490000009
CILOSTAZOL,CILOSTAZOL,717552,14166611.819999922
CILOSTAZOL,PLETAL,266,25924.29
CIMETIDINE,CIMETIDINE,44018,1212088.0600000026
CIMETIDINE HCL,CIMETIDINE,202,4407.89
CINACALCET HCL,SENSIPAR,794793,838901271.5599989
CIPROFLOXACIN,CIPRO,149,20603.93
CIPROFLOXACIN HCL,CILOXAN,1908,342214.80000000005
CIPROFLOXACIN HCL,CIPRO,92,22465.23
CIPROFLOXACIN HCL,CIPROFLOXACIN HCL,5864420,41073252.36999921
CIPROFLOXACIN HCL/DEXAMETH,CIPRODEX,89713,16128396.490000047
CIPROFLOXACIN LACTATE/D5W,CIPROFLOXACIN-D5W,573,32591.380000000005
CIPROFLOXACIN/CIPROFLOXA HCL,CIPROFLOXACIN ER,288,17016.019999999997
CIPROFLOXACIN/HYDROCORTISONE,CIPRO HC,248,62573.82
CISPLATIN,CISPLATIN,194,9644.559999999998
CITALOPRAM HYDROBROMIDE,CELEXA,2881,671833.0899999996
CITALOPRAM HYDROBROMIDE,CITALOPRAM HBR,9663811,66534338.900001064
CITRIC ACID/G-LACTONE/MAG CARB,RENACIDIN,4828,310298.7099999999
CITRIC ACID/SODIUM CITRATE,ORACIT,108,2446.77
CITRIC ACID/SODIUM CITRATE,SODIUM CITRATE & CITRIC ACID,1163,37741.169999999984
CLARITHROMYCIN,BIAXIN,142,59698.02
CLARITHROMYCIN,CLARITHROMYCIN,135321,6807552.670000027
CLARITHROMYCIN,CLARITHROMYCIN ER,12188,894035.1599999998
CLEMASTINE FUMARATE,CLEMASTINE FUMARATE,3683,89948.83999999997
CLINDAMYCIN HCL,CLINDAMYCIN HCL,980345,8142792.0599998655
CLINDAMYCIN PALMITATE HCL,CLINDAMYCIN PALMITATE HCL,57,10349.49
CLINDAMYCIN PALMITATE HCL,CLINDAMYCIN PEDIATRIC,16,1454.28
CLINDAMYCIN PHOS/BENZOYL PEROX,ACANYA,39,16970.17
CLINDAMYCIN PHOS/BENZOYL PEROX,BENZACLIN,39,17842.99
CLINDAMYCIN PHOS/BENZOYL PEROX,CLINDAMYCIN PHOS-BENZOYL PEROX,278,41941.05
CLINDAMYCIN PHOS/BENZOYL PEROX,CLINDAMYCIN-BENZOYL PEROXIDE,2041,675982.5299999997
CLINDAMYCIN PHOSPHATE,CLEOCIN,20,3502.62
CLINDAMYCIN PHOSPHATE,CLEOCIN PHOSPHATE,117,7047.55
CLINDAMYCIN PHOSPHATE,CLEOCIN T,13,1760.41
CLINDAMYCIN PHOSPHATE,CLINDAMYCIN PHOSPHATE,182649,14483364.67
CLINDAMYCIN PHOSPHATE,CLINDESSE,11,960.65
CLINDAMYCIN PHOSPHATE/D5W,CLEOCIN PHOSPHATE IN D5W,11,230.21
CLINDAMYCIN PHOSPHATE/D5W,CLINDAMYCIN PHOSPHATE-D5W,84,5321.459999999999
CLINDAMYCIN/TRETINOIN,ZIANA,27,15503.400000000001
CLOBAZAM,ONFI,53149,45697806.230000064
CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,1393443,285533185.0800021
CLOBETASOL PROPIONATE,CLOBEX,320,247545.1
CLOBETASOL PROPIONATE/EMOLL,CLOBETASOL EMOLLIENT,14620,1923094.1700000006
CLOBETASOL PROPIONATE/EMOLL,CLOBETASOL EMULSION,160,72547.37999999999
CLOBETASOL PROPIONATE/EMOLL,OLUX-E,12,9411.48
CLOCORTOLONE PIVALATE,CLOCORTOLONE PIVALATE,401,156175.16
CLOCORTOLONE PIVALATE,CLODERM,62,23475.84
CLOMIPHENE CITRATE,CLOMIPHENE CITRATE,14,306.47
CLOMIPRAMINE HCL,ANAFRANIL,275,602049.63
CLOMIPRAMINE HCL,CLOMIPRAMINE HCL,87337,46280224.43000017
CLONAZEPAM,CLONAZEPAM,9245351,61814881.98000002
CLONAZEPAM,KLONOPIN,3041,588200.7699999999
CLONIDINE,CATAPRES-TTS 1,624,138276.00999999998
CLONIDINE,CATAPRES-TTS 2,1607,580855.99
CLONIDINE,CATAPRES-TTS 3,1594,763520.49
CLONIDINE,CLONIDINE,322459,48979077.46000002
CLONIDINE HCL,CATAPRES,856,210503.03999999998
CLONIDINE HCL,CLONIDINE HCL,4033052,31876443.739999484
CLONIDINE HCL,CLONIDINE HCL ER,1546,405515.87
CLONIDINE HCL/CHLORTHALIDONE,CLORPRES,118,12245.57
CLOPIDOGREL BISULFATE,CLOPIDOGREL,13995610,204233539.9699987
CLOPIDOGREL BISULFATE,PLAVIX,37278,8104972.199999985
CLORAZEPATE DIPOTASSIUM,CLORAZEPATE DIPOTASSIUM,217204,4587691.919999996
CLORAZEPATE DIPOTASSIUM,TRANXENE T-TAB,252,119248.16999999998
CLOTRIMAZOLE,CLOTRIMAZOLE,317788,10022564.64000002
CLOTRIMAZOLE/BETAMETHASONE DIP,CLOTRIMAZOLE-BETAMETHASONE,954657,40489209.76000024
CLOTRIMAZOLE/BETAMETHASONE DIP,LOTRISONE,36,5162.280000000001
CLOZAPINE,CLOZAPINE,1085784,91809258.76999973
CLOZAPINE,CLOZAPINE ODT,28183,10507896.24999999
CLOZAPINE,CLOZARIL,13316,14783043.440000005
CLOZAPINE,FAZACLO,30995,26749853.299999975
CLOZAPINE,VERSACLOZ,824,1138545.8099999998
COBICISTAT,TYBOST,265,53135.490000000005
CODEINE SULFATE,CODEINE SULFATE,9104,640933.1899999998
CODEINE/BUTALBITAL/ASA/CAFFEIN,ASCOMP WITH CODEINE,7771,1070785.2200000011
CODEINE/BUTALBITAL/ASA/CAFFEIN,BUTALBITAL COMPOUND-CODEINE,14450,2180329.179999999
CODEINE/BUTALBITAL/ASA/CAFFEIN,FIORINAL WITH CODEINE #3,907,678022.1099999999
CODEINE/CARISOPRODOL/ASPIRIN,CARISOPRODOL COMPOUND-CODEINE,72,8774.85
CODEINE/CARISOPRODOL/ASPIRIN,CARISOPRODOL-ASPIRIN-CODEINE,62,4991.7
COLCHICINE,COLCHICINE,366737,70948113.16999976
COLCHICINE,COLCRYS,357625,79380957.5499996
COLCHICINE/PROBENECID,PROBENECID-COLCHICINE,27604,1085541.889999999
COLESEVELAM HCL,WELCHOL,405733,199782474.84999943
COLESTIPOL HCL,COLESTID,145,27727.9
COLESTIPOL HCL,COLESTIPOL HCL,178973,14302168.090000011
COLISTIN (COLISTIMETHATE NA),COLISTIMETHATE,1793,1102077.17
COLLAGENASE CLOSTRIDIUM HIST.,SANTYL,280198,82297093.49999972
COLLAGENASE CLOSTRIDIUM HIST.,XIAFLEX,24,135834.32
CORTICOTROPIN,H.P. ACTHAR,5897,256415437.6700001
CORTISONE ACETATE,CORTISONE ACETATE,645,74564.38
CRIZOTINIB,XALKORI,2885,36252269.699999996
CROFELEMER,FULYZAQ,1212,668800.9300000002
CROMOLYN SODIUM,CROMOLYN SODIUM,47371,1784515.2999999973
CROMOLYN SODIUM,GASTROCROM,46,104411.52
CROTAMITON,EURAX,838,406966.94
CYANOCOBALAMIN (VITAMIN B-12),CYANOCOBALAMIN INJECTION,7671,96268.1
CYANOCOBALAMIN/FA/PYRIDOXINE,FOLBIC,11,180.93
CYANOCOBALAMIN/FA/PYRIDOXINE,FOLIC ACID-VIT B6-VIT B12,12,113.73
CYCLOBENZAPRINE HCL,AMRIX,2250,2191383.4199999985
CYCLOBENZAPRINE HCL,CYCLOBENZAPRINE HCL,3134797,51731401.140000135
CYCLOPENTOLATE HCL,CYCLOGYL,166,7380.82
CYCLOPENTOLATE HCL,CYCLOPENTOLATE HCL,9269,144053.03000000003
CYCLOPHOSPHAMIDE,CYCLOPHOSPHAMIDE,2649,1530494.4599999997
CYCLOSERINE,CYCLOSERINE,73,42866.37
CYCLOSPORINE,CYCLOSPORINE,3809,1372308.54
CYCLOSPORINE,RESTASIS,1319912,657242409.080002
CYCLOSPORINE,SANDIMMUNE,1292,617033.2799999997
"CYCLOSPORINE, MODIFIED",CYCLOSPORINE,237,37673.990000000005
"CYCLOSPORINE, MODIFIED",CYCLOSPORINE MODIFIED,24347,3807341.960000001
"CYCLOSPORINE, MODIFIED",GENGRAF,5616,1087911.3599999992
"CYCLOSPORINE, MODIFIED",NEORAL,5592,1936976.8700000006
CYPROHEPTADINE HCL,CYPROHEPTADINE HCL,65970,2469213.69
CYSTEAMINE BITARTRATE,CYSTAGON,56,17443.120000000003
CYSTEAMINE BITARTRATE,PROCYSBI,162,6570001.31
CYSTEAMINE HCL,CYSTARAN,169,652661.8899999999
CYTARABINE/PF,CYTARABINE,24,385.58000000000004
DABIGATRAN ETEXILATE MESYLATE,PRADAXA,1033760,431256528.5800011
DABRAFENIB MESYLATE,TAFINLAR,1877,15503312.899999997
DACLATASVIR DIHYDROCHLORIDE,DAKLINZA,941,20003851.060000002
DALBAVANCIN HCL,DALVANCE,55,114031.36
DALFAMPRIDINE,AMPYRA,66538,145145647.71999988
"DALTEPARIN SODIUM,PORCINE",FRAGMIN,2687,4318921.210000001
DANAZOL,DANAZOL,3746,842201.2299999996
DANTROLENE SODIUM,DANTRIUM,145,21536.369999999995
DANTROLENE SODIUM,DANTROLENE SODIUM,26228,2605218.7499999986
DAPAGLIFLOZIN PROPANEDIOL,FARXIGA,55692,22954078.45000001
DAPAGLIFLOZIN/METFORMIN HCL,XIGDUO XR,911,337623.37
DAPSONE,ACZONE,357,128262.77999999998
DAPSONE,DAPSONE,48864,2076166.1299999997
DAPTOMYCIN,CUBICIN,20948,48020679.99000005
DARBEPOETIN ALFA IN POLYSORBAT,ARANESP,25472,29389256.189999986
DARIFENACIN HYDROBROMIDE,ENABLEX,62186,18077523.749999985
DARUNAVIR ETHANOLATE,PREZISTA,288816,370731866.44999915
DARUNAVIR/COBICISTAT,PREZCOBIX,19872,29401861.239999983
DASATINIB,SPRYCEL,19030,164077775.79
DECITABINE,DECITABINE,42,366787.51
DEFERASIROX,EXJADE,6614,50018282.90000004
DEFERASIROX,JADENU,1794,15085254.359999998
DEFERIPRONE,FERRIPROX,582,5188438.350000001
DEFEROXAMINE MESYLATE,DEFEROXAMINE MESYLATE,685,126929.83000000002
DEFEROXAMINE MESYLATE,DESFERAL MESYLATE,64,29113.89
DEGARELIX ACETATE,FIRMAGON,879,495837.41000000015
DELAVIRDINE MESYLATE,RESCRIPTOR,226,78310.31
DEMECLOCYCLINE HCL,DEMECLOCYCLINE HCL,15494,5257212.860000001
DENOSUMAB,PROLIA,89407,84091092.38000014
DENOSUMAB,XGEVA,3870,7342350.209999999
DESIPRAMINE HCL,DESIPRAMINE HCL,48461,4206412.959999997
DESIPRAMINE HCL,NORPRAMIN,313,81278.18
DESLORATADINE,CLARINEX,2007,409830.10000000015
DESLORATADINE,DESLORATADINE,56946,2517132.599999997
DESLORATADINE/PSEUDOEPHEDRINE,CLARINEX-D 12 HOUR,756,188125.58000000007
DESMOPRESSIN (NONREFRIGERATED),DDAVP,242,210319.57
DESMOPRESSIN (NONREFRIGERATED),DESMOPRESSIN ACETATE,2621,489974.0599999999
DESMOPRESSIN ACETATE,DDAVP,310,424244.24
DESMOPRESSIN ACETATE,DESMOPRESSIN ACETATE,113529,10538893.659999978
DESMOPRESSIN ACETATE,STIMATE,12,7829.94
DESOG-E.ESTRADIOL/E.ESTRADIOL,AZURETTE,1407,42282.02999999998
DESOG-E.ESTRADIOL/E.ESTRADIOL,DESOGESTR-ETH ESTRAD ETH ESTRA,88,3043.6099999999997
DESOG-E.ESTRADIOL/E.ESTRADIOL,KARIVA,1316,40819.26
DESOG-E.ESTRADIOL/E.ESTRADIOL,MIRCETTE,31,3201.8100000000004
DESOG-E.ESTRADIOL/E.ESTRADIOL,PIMTREA,540,16481.05
DESOG-E.ESTRADIOL/E.ESTRADIOL,VIORELE,1159,33686.81000000001
DESOGESTREL-ETHINYL ESTRADIOL,APRI,5168,92286.19999999992
DESOGESTREL-ETHINYL ESTRADIOL,CAZIANT,175,4147.11
DESOGESTREL-ETHINYL ESTRADIOL,DESOGESTREL-ETHINYL ESTRADIOL,996,15827.679999999997
DESOGESTREL-ETHINYL ESTRADIOL,EMOQUETTE,850,13795.590000000002
DESOGESTREL-ETHINYL ESTRADIOL,ENSKYCE,751,8861.810000000001
DESOGESTREL-ETHINYL ESTRADIOL,RECLIPSEN,2300,40674.609999999986
DESOGESTREL-ETHINYL ESTRADIOL,VELIVET,644,14915.35
DESONIDE,DESONATE,56,25746.089999999997
DESONIDE,DESONIDE,214787,35540269.419999994
DESOXIMETASONE,DESOXIMETASONE,96875,13240386.089999968
DESOXIMETASONE,TOPICORT,204,88595.08
DESVENLAFAXINE,DESVENLAFAXINE ER,4035,627395.3600000002
DESVENLAFAXINE,KHEDEZLA,50,16636.34
DESVENLAFAXINE FUMARATE,DESVENLAFAXINE FUMARATE ER,28,3189.7
DESVENLAFAXINE SUCCINATE,PRISTIQ ER,386727,109305244.83000025
DEXAMETHASONE,DEXAMETHASONE,487148,5517393.099999996
DEXAMETHASONE,DEXAMETHASONE INTENSOL,140,10670.59
DEXAMETHASONE,DEXPAK,86,14509.32
DEXAMETHASONE,MAXIDEX,126,8939.24
DEXAMETHASONE SOD PHOSPHATE,DEXAMETHASONE SODIUM PHOSPHATE,43534,712299.7799999999
DEXAMETHASONE SODIUM PHOSP/PF,DEXAMETHASONE SODIUM PHOSPHATE,384,23088.400000000005
DEXLANSOPRAZOLE,DEXILANT,1353320,362069213.8800006
DEXMETHYLPHENIDATE HCL,DEXMETHYLPHENIDATE HCL,3598,249366.18999999994
DEXMETHYLPHENIDATE HCL,DEXMETHYLPHENIDATE HCL ER,2452,522161.13999999984
DEXMETHYLPHENIDATE HCL,FOCALIN,214,24831.999999999996
DEXMETHYLPHENIDATE HCL,FOCALIN XR,1561,550574.7500000001
DEXTROAMPHETAMINE SULFATE,DEXEDRINE,1040,1619943.5400000003
DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE SULFATE,22404,3738284.870000007
DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE SULFATE ER,25327,6887232.639999999
DEXTROAMPHETAMINE SULFATE,ZENZEDI,257,75516.22
DEXTROAMPHETAMINE/AMPHETAMINE,ADDERALL,2177,880512.4699999999
DEXTROAMPHETAMINE/AMPHETAMINE,ADDERALL XR,10192,3521467.3999999994
DEXTROAMPHETAMINE/AMPHETAMINE,DEXTROAMPHETAMINE-AMPHET ER,236088,38171209.09000006
DEXTROAMPHETAMINE/AMPHETAMINE,DEXTROAMPHETAMINE-AMPHETAMINE,782632,45724804.35000004
DEXTROMETHORPHAN HBR/QUINIDINE,NUEDEXTA,305184,112530037.94999972
DEXTROSE 10 % IN WATER,DEXTROSE IN WATER,51,1094.65
DEXTROSE 5 % AND 0.9 % NACL,DEXTROSE 5%-0.9% NACL,2670,59280.22
DEXTROSE 5 % IN WATER,DEXTROSE IN WATER,10083,220756.37999999995
DEXTROSE 5 %-0.2 % NACL,DEXTROSE 5%-0.2% NACL,145,4070.8100000000004
DEXTROSE 5 %-0.2 % NACL,DEXTROSE 5%-0.225% NACL,34,869.66
DEXTROSE 5 %-0.45 % NACL,DEXTROSE 5%-0.45% NACL,18335,294266.94999999995
DEXTROSE 5%-LACTATED RINGERS,DEXTROSE IN LACTATED RINGERS,575,19492.0
DEXTROSE 50 % IN WATER,DEXTROSE IN WATER,29,751.44
DEXTROSE 70 % IN WATER,DEXTROSE IN WATER,28586,1312420.180000001
DHCODEINE BT/ACETAMINOPHN/CAFF,DIHYDROCODEIN-ACETAMINOPH-CAFF,21,4592.97
DHCODEINE BT/ACETAMINOPHN/CAFF,TREZIX,405,98652.21000000002
DIAZEPAM,DIASTAT,11,3563.93
DIAZEPAM,DIASTAT ACUDIAL,377,247139.45999999996
DIAZEPAM,DIAZEPAM,3401872,23301611.569999967
DIAZEPAM,VALIUM,5153,2213336.380000001
DIAZOXIDE,PROGLYCEM,515,403055.66
DICLOFENAC EPOLAMINE,FLECTOR,28491,11839946.530000007
DICLOFENAC POTASSIUM,CAMBIA,2593,1180624.92
DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,300499,8705969.769999975
DICLOFENAC POTASSIUM,ZIPSOR,1353,745522.1500000001
DICLOFENAC SODIUM,DICLOFENAC SODIUM,1879479,101740296.28999919
DICLOFENAC SODIUM,DICLOFENAC SODIUM ER,109605,2207072.3599999957
DICLOFENAC SODIUM,PENNSAID,8519,12969258.579999994
DICLOFENAC SODIUM,SOLARAZE,462,771012.3700000001
DICLOFENAC SODIUM,VOLTAREN,1997618,175246583.33999825
DICLOFENAC SODIUM,VOLTAREN-XR,49,15558.76
DICLOFENAC SODIUM/MISOPROSTOL,ARTHROTEC 50,477,146966.10000000006
DICLOFENAC SODIUM/MISOPROSTOL,ARTHROTEC 75,945,271674.49000000005
DICLOFENAC SODIUM/MISOPROSTOL,DICLOFENAC SODIUM-MISOPROSTOL,34764,5508168.2699999865
DICLOFENAC SUBMICRONIZED,ZORVOLEX,5392,1126045.8300000003
DICLOXACILLIN SODIUM,DICLOXACILLIN SODIUM,16517,395899.7899999997
DICYCLOMINE HCL,BENTYL,221,23873.78
DICYCLOMINE HCL,DICYCLOMINE HCL,1233083,10640981.960000154
DIDANOSINE,DIDANOSINE,5666,1138816.4300000006
DIDANOSINE,VIDEX,20,2634.2
DIETHYLPROPION HCL,DIETHYLPROPION HCL ER,38,1040.44
DIFLORASONE DIACETATE,DIFLORASONE DIACETATE,4713,1772973.8300000003
DIFLORASONE DIACETATE/EMOLL,APEXICON E,58,42785.520000000004
DIFLUNISAL,DIFLUNISAL,24629,1858453.5600000008
DIFLUPREDNATE,DUREZOL,527940,81984505.4800002
DIGOXIN,DIGITEK,205989,8395570.080000002
DIGOXIN,DIGOX,1285651,52270929.2900003
DIGOXIN,DIGOXIN,1973063,83027434.21
DIGOXIN,LANOXIN,20748,2284135.610000002
DIHYDROCODEINE/ASPIRIN/CAFFEIN,ASPIRIN-CAFFEINE-DIHYDROCODEIN,28,4780.26
DIHYDROCODEINE/ASPIRIN/CAFFEIN,SYNALGOS-DC,47,6027.42
DIHYDROERGOTAMINE MESYLATE,DIHYDROERGOTAMINE MESYLATE,1711,3436039.7899999996
DIHYDROERGOTAMINE MESYLATE,MIGRANAL,308,986330.4500000002
DILTIAZEM HCL,CARDIZEM,134,112316.59999999999
DILTIAZEM HCL,CARDIZEM CD,2764,3420122.44
DILTIAZEM HCL,CARDIZEM LA,4147,622018.8699999998
DILTIAZEM HCL,CARTIA XT,1221455,43771329.43999967
DILTIAZEM HCL,DILT-CD,61,1204.05
DILTIAZEM HCL,DILT-XR,229456,8881161.259999935
DILTIAZEM HCL,DILTIAZEM 12HR ER,36758,4122731.4700000086
DILTIAZEM HCL,DILTIAZEM 24HR CD,1406790,45759006.65999996
DILTIAZEM HCL,DILTIAZEM 24HR ER,1082333,64342635.50000065
DILTIAZEM HCL,DILTIAZEM ER,608545,23580426.34999995
DILTIAZEM HCL,DILTIAZEM HCL,620570,11410208.64999995
DILTIAZEM HCL,DILTZAC ER,50,1261.69
DILTIAZEM HCL,MATZIM LA,15622,1471803.6799999983
DILTIAZEM HCL,TAZTIA XT,139142,5046872.129999989
DILTIAZEM HCL,TIAZAC,776,75274.03999999998
DIMETHYL FUMARATE,TECFIDERA,120696,767081712.8000038
DIMETHYL SULFOXIDE,RIMSO-50,303,231276.47999999998
"DIPH,PERTUSS(ACELL),TET PED/PF",INFANRIX DTAP,89,3431.89
"DIPH,PERTUSS(ACELL),TET VAC/PF",ADACEL TDAP,92963,5168670.94
DIPHENHYDRAMINE HCL,DIPHENHYDRAMINE HCL,19305,420838.05
DIPHENOXYLATE HCL/ATROPINE,DIPHENOXYLATE-ATROPINE,469014,14109019.990000002
DIPHENOXYLATE HCL/ATROPINE,LOMOTIL,296,62216.25
"DIPHTH,PERTUSS(ACELL),TET VAC",BOOSTRIX TDAP,119495,6663063.029999992
DIPYRIDAMOLE,DIPYRIDAMOLE,24520,594755.9299999997
DIPYRIDAMOLE,PERSANTINE,48,6009.4400000000005
DISOPYRAMIDE PHOSPHATE,DISOPYRAMIDE PHOSPHATE,9520,689806.5900000009
DISOPYRAMIDE PHOSPHATE,NORPACE,107,30768.68
DISOPYRAMIDE PHOSPHATE,NORPACE CR,635,190561.11999999997
DISULFIRAM,ANTABUSE,11,2019.6
DISULFIRAM,DISULFIRAM,7426,601454.6600000003
DIVALPROEX SODIUM,DEPAKOTE,23637,10378623.46999999
DIVALPROEX SODIUM,DEPAKOTE ER,33357,12763732.85999998
